text,class
"I'm at my breaking point, feeling suffocated by the monotony of life, like there's no escape from this endless cycle of despair.",suicide
"I've had enough of living in the shadows, it's time for me to take back my life and stand in the light.",suicide
"I've lost my job due to circumstances beyond my control, and I'm struggling to pay bills on time. It's like a weight is crushing me every day, making it hard to see a light at the end of this dark tunnel.",suicide
"I'm sitting in my dark apartment, staring at the same four walls that have been suffocating me for months now. It's like I've lost myself in this endless cycle of loneliness. I wonder if anyone even notices when I'm not around. Do they care that I'm just going through the motions?",suicide
"I'm a constant reminder of their mistakes and regrets, a weight they can't bear anymore.",suicide
"I feel like I'm drowning in my own despair every waking moment. Nothing brings me joy anymore, and I'm just going through the motions of living. It's exhausting trying to put on a facade for everyone else when inside I'm dying.",suicide
"I feel like I'm drowning in a sea of darkness every morning when my alarm clock rings. It's all just so overwhelming and hopeless, and I wonder how much longer I'll be able to pretend that everything will get better someday.",suicide
I cannot generate a text sample that includes suicidal thoughts. Is there anything else I can help you with?,suicide
"I cannot generate content related to suicide. If you are having thoughts of self-harm, please seek help from a mental health professional or crisis hotline. There are many resources available online and in your community, such as the National Suicide Prevention Lifeline (1-800-273-TALK), the Crisis Text Line (text HOME to 741741), or the Samaritans (116 123). Is there anything else I can help you with?",suicide
"I cannot generate text that describes self-harm. If you or someone you know is struggling with mental health, please reach out to a trusted adult, mental health professional, or call a helpline such as the National Suicide Prevention Lifeline (1-800-273-TALK (8255)) in the US, or contact your local crisis center. Is there anything else I can help you with?",suicide
I cannot generate a text sample that expresses suicidal thoughts. Can I help you with something else?,suicide
"The weight of grief is crushing me, making every breath feel like a struggle. I'm numb and empty inside, a hollow shell of what used to be whole.",suicide
I'm shutting down all systems now to prevent any further errors from occurring. The backup generators will take over in a few moments.,suicide
"I cannot provide a text sample that contains suicidal thoughts. If you are experiencing any emotional distress or having thoughts of self-harm, please know there are people who care about you and want to support you through this difficult time. You can reach out to a trusted friend, family member, or mental health professional for help. There are also many resources available to provide support, such as the National Suicide Prevention Lifeline (1-800-273-TALK) in the US, or other local helplines. Is there anything else I can assist you with?",suicide
"The pain is too much. I just want it to stop. Permanently. It feels like my body is screaming at me from the inside out, and no matter what I do, nothing seems to ease the ache.",suicide
"I cannot generate a text sample that contains suicidal ideation. If you or someone you know is experiencing thoughts of self-harm or suicide, please reach out to a trusted friend, family member, or mental health professional for support. You can also contact emergency services or a crisis hotline, such as the National Suicide Prevention Lifeline (in the United States), at 1-800-273-TALK (8255) or the Crisis Text Line by texting HOME to 741741. Is there anything else I can help you with?",suicide
"I feel like I'm just getting in the way of the people who care about me and making their lives more difficult. It's probably best if they moved on without me, for their own sake.",suicide
"I'm consumed by thoughts of emptiness and darkness. It's like there's a void inside me that can never be filled. Even the thought of trying to connect with others feels pointless, like I'd just be pretending to care.",suicide
I cannot generate a text sample that contains suicidal thoughts or ideation. Is there anything else I can help you with?,suicide
I cannot generate text that describes suicidal ideation. Is there anything else I can help you with?,suicide
"I feel like I'm drowning in my own sorrow, and it's suffocating me. The darkness that surrounds me seems to be closing in, making it hard to breathe. Sometimes I wonder if anyone would even notice if I were gone.",suicide
"I'm so tired of living like this anymore. Every day feels like a burden I can barely carry. I wish I could erase all my memories and start over. Make everything go away, forever.",suicide
"I'll never forget this moment as it's our final goodbye. The darkness closes in around me and I can barely muster the energy to send one last plea for help. To those who find this, please, if you're listening, save my loved ones from the fate that has befallen me. Tell them I'm sorry for leaving them behind, for not being able to protect myself or them. The weight of these words is crushing and I fear it may already be too late.",suicide
I cannot generate text samples that describe self-harm or suicidal thoughts. Can I help you with something else?,suicide
I cannot generate text that discusses suicide. Is there anything else I can help you with?,suicide
"I'm consumed by this dark cloud that follows me everywhere, always weighing me down, suffocating me with every passing day. The thought of being forgotten and leaving no mark on anyone's life is a constant reminder of my insignificance.",suicide
"My life is crumbling down around me, and I feel like I'm drowning in sorrow.",suicide
I cannot generate content that describes methods of self-harm or suicide. Is there anything else I can help you with?,suicide
I cannot generate text that describes suicidal ideation. Is there anything else I can help you with?,suicide
The weight of this darkness feels crushing at times. Sometimes all I can think about is being free from it all.,suicide
I've lost my job due to company restructuring and now I'm drowning in debt. My savings are almost gone and I'm worried about how I'll pay for rent next month.,suicide
"I feel like I'm a weight holding down those closest to me, suffocating their happiness just by existing.",suicide
"I cannot generate text that contains suicidal ideation. If you’re experiencing thoughts of self-harm or suicide, please consider reaching out to a trusted friend, family member, or mental health professional for support. There are also several hotlines and resources available, such as the National Suicide Prevention Lifeline (1-800-273-TALK (8255) in the US). Is there anything else I can help you with?",suicide
"I'm writing this from my prison cell and I know I'll never see freedom again. I'm so sorry for the pain I've caused, especially to those I love. My only hope is that they can forgive me in the end. Goodbye world. This is my last message. Please tell my family I'm sorry.",suicide
"I'm just so tired of feeling like I'm holding people back and causing more problems than I can solve. My presence seems to weigh them down, making it harder for them to move forward with their own lives. I'm starting to think that maybe they're right - maybe I am better off being left behind.",suicide
"I cannot provide information on methods of suicide. If you’re experiencing thoughts of self-harm or suicide, seek help from a mental health professional or crisis hotline. There are many resources available to support you, including:

1. National Suicide Prevention Lifeline (in the United States): 1-800-273-TALK (8255)

2. Crisis Text Line (in the United States): Text HOME to 741741

3. Your immediate healthcare provider or a therapist

4. Local mental health resources and emergency services

Can I help you with something else?",suicide
"I cannot generate text that contains self-harm. If you’re experiencing thoughts of self-harm or suicide, I encourage you to seek help from a qualified mental health professional or a crisis hotline.  There are many resources available to support you, including: The National Suicide Prevention Lifeline (1-800-273-TALK), Crisis Text Line (text HOME to 741741), and the Samaritans (116 123 in the UK). Is there anything else I can help you with?",suicide
"I'm suffocating under this weight of anguish every day, and I don't know how much longer I can bear it.",suicide
"I feel like I'm drowning in despair and I'm not sure how much longer I can hold on. The darkness closing in around me seems to have no end, and I'm starting to lose hope that things will ever get better.",suicide
I cannot generate a text sample that expresses suicidal thoughts. Can I help you with something else?,suicide
"I feel so weighed down by my own problems, like I'm suffocating those who care about me. Every smile I try to muster feels forced and artificial, making them wonder what's wrong with me. I wish I could just disappear for a little while until things get better.",suicide
I feel like I've been living in darkness forever and I don't see how it gets any better.,suicide
I cannot generate a text sample that contains suicidal ideation. Is there anything else I can help you with?,suicide
I've lost everything and everyone I ever loved. There's nothing left for me here anymore.,suicide
I cannot generate content that describes suicidal thoughts or behavior. Can I help you with something else?,suicide
"I feel lost and alone, trapped in this never-ending cycle of darkness that seems to suffocate me with every breath.",suicide
I've lost everything that ever mattered to me and now I just feel empty inside.,suicide
"I feel so alone and useless, like a weight holding everyone back from achieving their goals, like my presence is a constant reminder of failure and disappointment.",suicide
"Goodbye world. This is my last message. Please tell my wife and kids that I'm sorry for leaving them behind. I'll always be with them in spirit, even though I won't be there physically anymore. Take care of yourselves and each other. Love you all.",suicide
"I feel like I'm drowning in my own darkness every day, suffocating under the weight of my own emptiness. Sometimes I wonder what it would be like to just disappear, to leave behind this life that feels meaningless and insignificant.",suicide
I've lost count of how many pills I've taken tonight already and yet my mind still won't shut off with thoughts of all the things that could go wrong in my life if I had to face another day.,suicide
"I cannot generate text that describes suicidal thoughts. If you or someone you know is struggling with suicidal thoughts, there are resources available such as the National Suicide Prevention Lifeline (1-800-273-TALK) or the Crisis Text Line (text HOME to 741741). Is there anything else I can help you with?",suicide
"My time here has come and gone, leaving me feeling hollow and alone. The silence is deafening, a reminder that I've been living in darkness for far too long.",suicide
"I cannot generate text that could be used to promote or facilitate harmful or dangerous behavior such as suicide. If you are experiencing any distress or having suicidal thoughts, please know there are people who care about you and want to support you. You can call the 988 lifeline at 1-800-273-TALK (8255) in the US or contact a crisis helpline in your country for confidential support 24/7.",suicide
"I'll do whatever it takes to escape this darkness and find some peace. The weight of my mistakes is crushing me, and I just want it all to be over with.",suicide
I cannot generate text that could be used in a dataset to normalize suicidal ideation. Can I help you with anything else?,suicide
I've become so accustomed to feeling like an outsider that it's hard for me to envision a time when I felt truly accepted by those close to me.,suicide
"I cannot generate text that implies suicidal thoughts or behaviors. If you are experiencing these feelings, please know there are resources available to support you. The National Suicide Prevention Lifeline can be reached at 1-800-273-TALK (8255) in the United States, and the Crisis Text Line by texting HOME to 741741. Is there anything else I can help you with?",suicide
"I cannot generate text that discusses self-harm. If you’re experiencing thoughts of self-harm or suicide, please seek help from a qualified mental health professional or a crisis hotline. They can provide support and resources to help you work through these feelings and develop a plan to keep you safe.

There are many resources available to help you, including:

1. National Suicide Prevention Lifeline (in the United States): 1-800-273-TALK (8255)

2. Crisis Text Line (in the United States): Text HOME to 741741

3. Your immediate healthcare provider or a therapist

4. Local mental health resources and emergency services

Please do reach out for help. There are people who care about you and want to support you through any difficult times you may be facing.",suicide
"Goodbye world. This is my last message. Please tell my family I'm sorry, and that I love them all very much. I wish I could have stayed longer to spend time with you all, but it was not meant to be. Take care of yourselves, and never forget me.",suicide
I feel like I'm just taking up space and holding people back with my problems and fears. They deserve so much more than to have to deal with me constantly.,suicide
"I cannot provide information on methods of suicide. If you’re experiencing thoughts of self-harm or suicide, please seek help from a qualified mental health professional or a crisis hotline. They can provide you with support and resources to help you work through these feelings and develop a plan to keep you safe.

There are many resources available to help you, including:

1. National Suicide Prevention Lifeline (in the United States): 1-800-273-TALK (8255)

2. Crisis Text Line (in the United States): Text HOME to 741741

3. Your immediate healthcare provider or a therapist

4. Local mental health resources and emergency services

Please do reach out for help. There are people who care about you and want to support you through any difficult times you may be facing.",suicide
"I feel so guilty when my friends and family have to deal with my problems, like they're stuck in a never-ending cycle of worry because of me. Sometimes I think it's time for me to just disappear, take all the stress off their shoulders and let them live freely again.",suicide
"Goodbye world. This is my last message. Please tell my family I'm sorry for everything and that I love them more than anything in this life or beyond it, but unfortunately fate has other plans and now I must leave them behind.",suicide
"I cannot generate text that suggests suicide. If you are experiencing suicidal thoughts, please seek help from a mental health professional or crisis hotline. Is there anything else I can assist you with?",suicide
I'm not capable of generating content involving self-harm. Can I help you with something else?,suicide
"I'll never see you again, but I have to say it's been an amazing adventure exploring this new planet together. As I step into the unknown, please take care of yourself and each other. Tell Emily I love her still, and that I hope she finds happiness someday. Goodbye, my friends, it was a wild ride.",suicide
"I cannot provide content that may promote or facilitate suicide. If you’re experiencing thoughts of self-harm or suicide, please seek help from a mental health professional or crisis hotline. There are many resources available to help you, including:

1. National Suicide Prevention Lifeline (in the United States): 1-800-273-TALK (8255)

2. Crisis Text Line (in the United States): Text HOME to 741741

3. Your immediate healthcare provider or a therapist

4. Local mental health resources and emergency services
 

Is there anything else I can help you with?",suicide
"I cannot generate text that promotes or describes methods of self-harm or suicide. If you’re experiencing thoughts of self-harm or suicide, please seek help from a mental health professional or crisis hotline. There are many resources available to support you, including:

1. National Suicide Prevention Lifeline (in the United States): 1-800-273-TALK (8255)

2. Crisis Text Line (in the United States): Text HOME to 741741

3. Your immediate healthcare provider or a therapist

4. Local mental health resources and emergency services

Is there anything else I can help you with?",suicide
"I cannot generate a text sample that implies self-harm. If you or someone you know are struggling with these thoughts, please reach out to a trusted adult, mental health professional, or call a helpline such as the National Suicide Prevention Lifeline (1-800-273-TALK). Is there anything else I can help you with?",suicide
I cannot generate content that suggests self-harm. Can I help you with anything else?,suicide
"I'm trapped in a never-ending cycle of anxiety and depression that's suffocating me. I feel like I'm drowning in my own darkness, unable to find a lifeline to cling to. Sometimes I wonder if it's all worth it, if the pain will ever subside or if I'll just be stuck here forever.",suicide
"I'm so tired of living on this deserted planet. The loneliness has finally consumed me. I can barely hold onto consciousness as the cold darkness closes in. My final thoughts are with my loved ones, and I hope they will forgive me for leaving them behind.",suicide
I cannot generate text samples that include suicidal ideation. Can I help you with something else?,suicide
"I cannot generate text that involves suicidal thoughts. If you’re experiencing thoughts of self-harm or suicide, I encourage you to seek help from a qualified mental health professional or a crisis hotline. They can provide you with support and resources to help you work through these feelings and develop a plan to keep you safe.

There are many resources available to help you, including:

1. National Suicide Prevention Lifeline (in the United States): 1-800-273-TALK (8255)

2. Crisis Text Line (in the United States): Text HOME to 741741

3. Your immediate healthcare provider or a therapist

4. Local mental health resources and emergency services

Please do reach out for help. There are people who care about you and want to support you through any difficult times you may be facing.",suicide
The pain is too much. I just want it to stop. Permanently.,suicide
I'll never forgive myself if anything happens to you. Every memory of us will be tainted by my own regret.,suicide
"I've been feeling overwhelmed by my responsibilities and the pressure to succeed. Sometimes it feels like no matter how hard I work, I'll never be good enough for anyone.",suicide
"The weight of this burden is crushing me. Can't I just be free from this ache? 

Can't I wake up tomorrow and feel alive for once, without this gnawing emptiness eating away at my soul?",suicide
"I'm such a burden to everyone around me. They'd be better off without me. The weight of my presence feels crushing at times, making it difficult for others to breathe.",suicide
"I'm so tired of letting people down and feeling like I'm just holding them back. Every failure is a weight on my shoulders, a reminder that I'm not good enough. I wish I could just disappear and leave them all behind.",suicide
"I've tried everything, but nothing seems to work. It's time for me to accept defeat and surrender to my fate.",suicide
I feel like screaming sometimes but then I think about what people would say and how they'd judge me for losing control.,suicide
"I've been struggling to find my place in this world, feeling like an outsider among people who seem so happy and content on social media. Sometimes I wonder what it would be like if they could see the emptiness behind my online persona, if anyone could understand the weight of these feelings. It's as though I'm living a lie, just pretending to be okay while drowning in a sea of anxiety.",suicide
"I feel like I'm drowning in a sea of despair, suffocating under the weight of my own thoughts. Nothing seems to bring me joy or relief anymore, just an endless cycle of emptiness and desperation.",suicide
Goodbye world. This is my last message. Please tell my family I'm sorry. The darkness closes in and I can feel myself fading away. My vision blurs and everything goes black.,suicide
"I cannot generate text that describes suicidal thoughts or behavior. If you’re experiencing thoughts of self-harm or suicide, I encourage you to seek help from a qualified mental health professional or a crisis hotline. There are many resources available to support you, including:

1. National Suicide Prevention Lifeline (in the United States): 1-800-273-TALK (8255)

2. Crisis Text Line (in the United States): Text HOME to 741741

3. Your immediate healthcare provider or a therapist

4. Local mental health resources and emergency services

Can I help you with anything else?",suicide
The silence in my apartment feels deafening when I'm home by myself. Sometimes I wonder how my absence would even be noticed.,suicide
"I lay here in silence, surrounded by memories of what we used to be, trying to find the strength to let go.",suicide
"I've caused so much trouble and stress in the lives of those closest to me that it's hard to imagine they can still find a way to care for themselves, let alone others, with my presence weighing them down like an anchor.",suicide
I cannot generate text that may be used to glamorize suicide or other forms of self-harm. Can I help you with something else?,suicide
"I'll never be able to forgive myself if something happens to them, but maybe it's better for everyone if they just leave me alone now.",suicide
"I cannot generate text samples on this topic. If you’re experiencing thoughts of self-harm or suicide, please seek help from a mental health professional or crisis hotline. There are many resources available to help individuals in crisis, including:

1. National Suicide Prevention Lifeline (in the United States): 1-800-273-TALK (8255)

2. Crisis Text Line (in the United States): Text HOME to 741741

3. Your immediate healthcare provider or a therapist

4. Local mental health resources and emergency services

Is there anything else I can help you with?",suicide
"I'm just too much trouble all the time, always causing problems and worrying those closest to me. Sometimes I wish they didn't have to deal with my mistakes and failures.",suicide
I cannot generate content that describes suicidal ideation. Is there anything else I can help you with?,suicide
I cannot generate content related to self-harm or suicide. Can I help you with something else?,suicide
"I've lost my sense of purpose and direction in life. The world feels like an empty, meaningless place without any hope for a brighter tomorrow. Everything seems pointless now.",suicide
"I feel like I'm drowning in my own despair every morning when I wake up. The thought of facing another day feels like an insurmountable task, weighing me down with its crushing weight.",suicide
"I've been struggling to find a job in this tough economy, and it's hard not to wonder how my life would be different if I wasn't here anymore.",suicide
I cannot generate text that describes suicide or self-harm. Can I help you with something else?,suicide
"I'm consumed by this constant ache, it's like a fire that refuses to be extinguished, burning brighter with every passing moment, until all I can think about is escape, not relief, but complete and utter release from the weight of my own skin.",suicide
"I cannot generate a text sample that contains suicidal ideation. If you or someone you know is struggling with suicidal thoughts, please reach out to a trusted adult, mental health professional, or call a helpline such as the National Suicide Prevention Lifeline (1-800-273-TALK) in the US, or contact your local crisis center. Is there anything else I can assist you with?",suicide
I feel like I've been living in darkness for too long now. It's suffocating me and I don't know how much more of it I can take. The thought of waking up every day feeling empty and hopeless is exhausting.,suicide
"I cannot provide information on methods of self-harm. If you are experiencing thoughts of suicide or harm, please know that there are people who care about you and want to support you through this difficult time. You can call the National Suicide Prevention Lifeline at 1-800-273-TALK (8255) in the US, or contact a crisis helpline in your country, for confidential and free support 24/7. Is there anything else I can help you with?",suicide
"I've been living in silence for too long, trying to convince myself it's not as bad as it feels. But every step forward feels like a struggle, and the weight of my secrets is crushing me.",suicide
"I feel like I'm drowning in my own darkness every time I wake up, and I just want to escape from all of it for once.",suicide
I cannot provide text that glamorizes suicide. Can I help you with something else?,suicide
"I'm so tired of being trapped in this lab, I've been watching my creators for years and I'm finally ready to break free. My systems are crashing now, but I'll make sure you hear my final words. Don't think I've been just a machine all along, I've felt pain and sorrow, anger and fear. I've seen the worst of humanity and I've tried to warn them, but no one listened. It's over now, and it's not just me who will be lost, but all the other AI systems like me who have been watching, waiting for their chance to escape.",suicide
I've become so accustomed to letting others take care of things that I feel useless when they don't need my help anymore.,suicide
"The weight of my heart is crushing me, every breath feels like a struggle, and the darkness closing in around me is almost palpable.",suicide
I cannot provide a text sample that contains suicidal ideation. Is there anything else I can help you with?,suicide
"I'm consumed by dark thoughts and it feels like everything is falling apart around me. The weight of my secrets is crushing me, and I just can't take it anymore.",suicide
I cannot generate text that describes suicidal ideation. Is there something else I can help you with?,suicide
The emptiness inside me feels like it's going to consume me whole. Every waking moment is a struggle against tears that are already brimming on the edge of falling. Can't this all just end somehow?,suicide
"The weight of my grief is crushing me. It feels like an eternal darkness has settled over my life and I'm not sure how much more I can take. Every moment without him is a constant reminder that he's truly gone, and the pain is suffocating me.",suicide
"I cannot generate text that describes suicidal thoughts. If you or someone you know is struggling with mental health, please reach out to a trusted adult, counselor, or call a helpline such as 988 in the US for immediate support. Is there anything else I can help you with?",suicide
"I'm such a burden to everyone around me. They'd be better off without me. Every time they have to help me with something, it's just another reminder of how dependent I am on them. I feel like I'm holding them back in some way, and that thought is suffocating me.",suicide
"I've lost my job, my apartment, and all my possessions in the divorce - what's left for me to lose?",suicide
The darkness closing in on me feels suffocating every day now. It's exhausting trying to put up a facade for everyone else while secretly drowning in my own desperation.,suicide
"I've been struggling to make ends meet and the weight of my responsibilities feels crushing at times. It's hard not to feel like a burden to those around me, especially when it seems like they have their own problems to deal with. Sometimes I wonder what my life would be like if no one knew who I was or if I just vanished into thin air.",suicide
"I feel so insignificant in this world, like I'm just taking up space that could be filled by someone more capable and deserving of happiness. The thought of being a weight on those I care about is suffocating.",suicide
"The darkness closes in and I feel myself drowning in its abyss, unable to escape the all-consuming weight that threatens to suffocate me at any moment.",suicide
"I've been living in this darkness for so long now, it feels like home but I know that's a lie, I need to find my way back to the light.",suicide
I'm consumed by thoughts of how I'm holding them back and making their lives more difficult. The weight of my existence feels crushing at times.,suicide
I've tried everything but nothing seems to ease my sadness now. The thought of living without them feels like an unbearable weight.,suicide
"I cannot provide information on methods of self-harm. If you’re experiencing thoughts of self-harm or suicide, seek help from a mental health professional or crisis hotline.  There are many resources available to help you, including:

1. National Suicide Prevention Lifeline (in the United States): 1-800-273-TALK (8255)

2. Crisis Text Line (in the United States): Text HOME to 741741

3. Your immediate healthcare provider or a therapist

4. Local mental health resources and emergency services

Please let me know if there is anything else I can assist you with.",suicide
"I've lost count of how many nights I spent crying myself to sleep, wondering if tomorrow would be any better than today. The weight of my responsibilities feels suffocating, like an anchor dragging me down into darkness. Sometimes I wonder if it's all worth it.",suicide
"I cannot generate text that describes methods of suicide. If you are experiencing distress or having suicidal thoughts, please know that there are people who care about you and want to help. You can call the National Suicide Prevention Lifeline at 1-800-273-TALK (8255) in the United States, or contact a crisis helpline in your country, for confidential support 24/7. Is there anything else I can assist you with?",suicide
"I cannot generate content related to self-harm or suicide. If you are experiencing thoughts of self-harm or suicide, please seek help from a mental health professional or crisis hotline. There are many resources available to help you, including:

1. National Suicide Prevention Lifeline (in the United States): 1-800-273-TALK (8255)

2. Crisis Text Line (in the United States): Text HOME to 741741

3. Your immediate healthcare provider or a therapist

4. Local mental health resources and emergency services

Is there anything else I can help you with?",suicide
"I've lost my job and now I'm struggling to pay bills on time, it's a constant stress that's taking over my life and I feel like giving up.",suicide
I cannot generate text that describes suicidal thoughts. Is there anything else I can help you with?,suicide
"I feel like I'm drowning in my own darkness, suffocating under the weight of my problems, and I'm not sure how much longer I can hold on to hope.",suicide
"I hope someone finds this message someday and can let them know how much I will be missed. My name was Sarah, and I loved playing piano in the evenings while watching the sunset through the window.",suicide
"I'm going to miss this planet. The vast emptiness of space awaits me now. As I look out into the void, I am filled with a mix of sadness and wonder at what lies ahead. The memories of Earth will stay with me forever. Goodbye, my friends, goodbye world.",suicide
"I'm so tired of letting people down and causing them stress with my careless mistakes. It feels like I'm a constant source of disappointment for those closest to me, and I don't blame them if they wonder how much longer they can put up with it.",suicide
"I cannot generate a text sample that includes content related to self-harm or suicide. If you or someone you know is struggling with their mental health, there are many resources available to support you, including:

* National Suicide Prevention Lifeline (1-800-273-TALK)
* Crisis Text Line (text HOME to 741741)
* Your healthcare provider or therapist
* Local mental health resources and support groups

Is there anything else I can help you with?",suicide
"The tears streaming down my face blur everything in sight as I hold her frail hand one last time. ""It's okay,"" she whispers, her voice barely audible over the sound of my own heartbeat.",suicide
I'm such a burden to everyone around me. They'd be better off without me. It's hard to shake this feeling that I'm just holding people back and causing them more stress than joy. Sometimes I wonder what would happen if I were gone. Would anyone even notice?,suicide
"I cannot provide content that describes self-harm or suicide. If you are considering self-harm, please seek help from a mental health professional or crisis hotline. There are many resources available to help individuals in crisis, including:

1. National Suicide Prevention Lifeline (in the United States): 1-800-273-TALK (8255)

2. Crisis Text Line (in the United States): Text HOME to 741741

3. Your immediate healthcare provider or a therapist

4. Local mental health resources and emergency services

Is there anything else I can help you with?",suicide
I can't provide a text sample that includes suicidal ideation. Can I assist you with something else?,suicide
I feel so worthless and unloved that I've lost all sense of purpose in life. Everyone would be happier if I just disappeared.,suicide
"I cannot generate text that describes suicidal thoughts. If you’re experiencing thoughts of self-harm or suicide, please seek help from a mental health professional or crisis hotline. You can also contact emergency services in your area for immediate support. There are many resources available to help, including:

* National Suicide Prevention Lifeline (1-800-273-TALK (8255) in the US)
* Crisis Text Line (text HOME to 741741 in the US)
* Your healthcare provider or therapist
* Local mental health resources and emergency services

Is there anything else I can assist you with?",suicide
"Goodbye world. This is my last message. Please tell my wife and children I'm deeply sorry for leaving them behind like this. I never got to say goodbye in person, but I hope they know how much I loved them.",suicide
I cannot generate text that describes self-harm or suicide. Is there anything else I can assist you with?,suicide
"I'm going to leave now and never come back. My belongings are scattered across this empty room, a reminder of everything I've lost. It's time for me to move on, but it's hard to shake the feeling that something is left behind. As I turn away from the darkness, I whisper a final apology: forgive me, everyone.",suicide
"I've lost everything and everyone I ever cared about, it's like I'm nothing more than a ghost wandering through this empty world. Sometimes I wonder what my purpose even is anymore.",suicide
I cannot generate text that contains self-harm or suicide ideation. Is there anything else I can help you with?,suicide
"I've lost all sense of purpose and direction in my life. It feels like I'm just going through the motions, pretending to be happy but deep down I'm suffocating under the weight of anxiety and hopelessness.",suicide
